Age,populationUK,unemployment_rate,Percentage_key_workers
0 to 4,3857263,0,0
5 to 9,4149852,0,0
10 to 14,3953866,0,0
15 to 19,3656968,0.256,0.019
20 to 24,4153080,0.132,0.073
25 to 29,4514249,0.038,0.115
30 to 34,449713,0.038,0.12
35 to 39,4395667,0.038,0.118
40 to 44,4019539,0.038,0.113
45 to 49,4402122,0.038,0.121
50 to 54,4661015,0.038,0.122
55 to 59,4405908,0.038,0.104
60 to 64,3755185,0.038,0.063
65 to 69,3368199,0.038,0.002
70 to 74,3318867,0.038,0.012
75 to 79,2325296,0,0
80 to 84,1715328,0,0
85 to 89,1042090,0,0
90 plus,605181,0,0
